family	p_crown	p_preceding	crown	preceding	fate
nuoF	1	1	present	present	retained
nuoG	1	1	present	present	retained
nuoH	1	1	present	present	retained
nuoJ	1	1	present	present	retained
nuoK	1	1	present	present	retained
nuoL	1	1	present	present	retained
nuoM	1	1	present	present	retained
nusA	1	1	present	present	retained
nusB	1	1	present	present	retained
nusG	0.5	0.5	unresolved	unresolved	polymorphic
obg	1	1	present	present	retained
octT	1	1	present	present	retained
odx	0.5	0.5	unresolved	unresolved	polymorphic
ogt	0.5	0.5	unresolved	unresolved	retained
omt	1	1	present	present	retained
opcA	0.9999	1	present	present	retained
oppB	0.5002	0.5007	unresolved	unresolved	retained
oppC	1	1	present	present	retained
oppD	1	1	present	present	retained
orn	0.9999	0.9999	present	present	retained
otsA	1	1	present	present	retained
pabB	1	1	present	present	retained
pabC	1	1	present	present	retained
pafA	1	1	present	present	retained
pafB	1	1	present	present	retained
pafC	1	1	present	present	retained
panB	1	1	present	present	retained
panC	1	1	present	present	retained
panD	0.0456	0.9657	absent	present	lost_cladewide
parA	1	1	present	present	retained
parB	1	1	present	present	retained
pat	0.5	0.5	unresolved	unresolved	retained
pbp1A	1	1	present	present	retained
pbp2B	1	1	present	present	retained
pbpA	1	1	present	present	retained
pcaA	1	1	present	present	retained
pccB	1	1	present	present	retained
pckG	1	1	present	present	retained
pcnA	1	1	present	present	retained
pcrA	1	1	present	present	retained
pdtaR	0.9999	0.9999	present	present	polymorphic
pdtaS	1	1	present	present	retained
pdxH	1	1	present	present	retained
pdxS	1	1	present	present	retained
pdxT	1	1	present	present	retained
pepA	1	1	present	present	retained
pepD	1	1	present	present	retained
pepE	1	1	present	present	retained
pepN	1	1	present	present	retained
pepO	1	1	present	present	retained
pepQ	1	1	present	present	retained
pepR	1	1	present	present	retained
pfkA	1	1	present	present	retained
pgi	1	1	present	present	retained
pgk	1	1	present	present	retained
pgl	0.9998	0.9999	present	present	retained
pgmB	1	1	present	present	retained
pgsA	1	1	present	present	retained
pgsA1	1	1	present	present	retained
pgsA2	1	1	present	present	retained
pheA	1	1	present	present	retained
pheS	1	1	present	present	retained
pheT	1	1	present	present	retained
phhB	1	1	present	present	retained
phoH	1	1	present	present	retained
phoH2	1	1	present	present	retained
phoP	0.09	0.9618	unresolved	present	polymorphic
phoR	0.076	0.9671	unresolved	present	polymorphic
phoU	1	1	present	present	retained
phr	0.9996	0.9996	present	present	retained
pimA	1	1	present	present	retained
pimB	1	1	present	present	retained
pkn1	1	1	present	present	retained
pknA	1	1	present	present	retained
pknB	1	1	present	present	retained
pknG	1	1	present	present	retained
pknL	0.9986	1	present	present	retained
pks11	0.9998	0.9998	present	present	retained
pks13	1	1	present	present	retained
pks16	1	1	present	present	retained
pksB_1	1	1	present	present	retained
plsB	1	1	present	present	retained
plsC	1	1	present	present	retained
pmmB	0.9999	1	present	present	retained
pmt	1	1	present	present	retained
pncA	1	1	present	present	retained
pncB	1	1	present	present	retained
pnp	1	1	present	present	retained
pntB	1	1	present	present	retained
polA	0.9998	0.9998	present	present	polymorphic
polA_1	1	1	present	present	retained
pon1	1	1	present	present	retained
ppa	1	1	present	present	retained
ppc	0.9999	0.9999	present	present	retained
ppgK	1	1	present	present	retained
ppiA	1	1	present	present	retained
ppiB	1	1	present	present	retained
ppk	1	1	present	present	retained
ppk2	1	1	present	present	retained
ppm1	1	1	present	present	retained
ppsA	0.9997	0.9979	present	present	retained
pptA	0.5	0.5	unresolved	unresolved	polymorphic
ppx1	1	1	present	present	retained
ppx2	1	1	present	present	retained
pqqE	0.9999	1	present	present	retained
prcA	1	1	present	present	retained
prcB	1	1	present	present	retained
prfA	1	1	present	present	retained
prfB	1	1	present	present	retained
priA	1	1	present	present	retained
prmC	1	1	present	present	retained
proA	1	1	present	present	retained
proB	1	1	present	present	retained
proC	1	1	present	present	retained
proS	1	1	present	present	retained
prrA	1	1	present	present	retained
prrB	1	1	present	present	retained
prs	1	1	present	present	retained
psd	1	1	present	present	retained
pspA	1	1	present	present	retained
pssA	1	1	present	present	retained
pstA	1	1	present	present	retained
pstB	1	1	present	present	retained
pstC	0.9999	0.9999	present	present	retained
pstP	1	1	present	present	retained
pstS	1	1	present	present	retained
pta	1	1	present	present	retained
pth	1	1	present	present	retained
ptpA	0.9999	0.9999	present	present	retained
ptpB	1	1	present	present	retained
ptrB	1	1	present	present	retained
punA	0.9953	0.9998	present	present	polymorphic
pup	1	1	present	present	retained
purA	1	1	present	present	retained
purB	1	1	present	present	retained
purC	1	1	present	present	retained
purD	1	1	present	present	retained
purF	1	1	present	present	retained
purH	1	1	present	present	retained
purK	0.9999	0.9999	present	present	retained
purL	1	1	present	present	retained
purM	1	1	present	present	retained
purN	1	1	present	present	retained
purQ	1	1	present	present	retained
purS	1	1	present	present	retained
purT	0.0184	0.9882	absent	present	lost_cladewide
pyc	0.0231	0.9849	absent	present	lost_cladewide
pyk	1	1	present	present	retained
pyrB	1	1	present	present	retained
pyrC	0.9999	0.9999	present	present	retained
pyrD	1	1	present	present	retained
pyrE	1	1	present	present	retained
pyrE_1	1	1	present	present	retained
pyrF	1	1	present	present	retained
pyrG	1	1	present	present	retained
pyrH	1	1	present	present	retained
pyrR	0.9999	0.9999	present	present	retained
qcrA	1	1	present	present	retained
qcrB	1	1	present	present	retained
qcrC	1	1	present	present	retained
qor	0.9999	0.9999	present	present	polymorphic
radA	1	1	present	present	retained
ramB	0.9927	0.9998	present	present	polymorphic
rarA	1	1	present	present	retained
rbfA	1	1	present	present	retained
rbpA	1	1	present	present	retained
rbsK	0.0614	0.953	unresolved	present	polymorphic
rdgB	0.9998	0.9998	present	present	retained
recA	1	1	present	present	retained
recB	0.9152	0.8872	unresolved	unresolved	retained
recC	1	1	present	present	retained
recF	1	1	present	present	retained
recG	1	1	present	present	retained
recN	1	1	present	present	retained
recO	0.9999	0.9999	present	present	retained
recR	1	1	present	present	retained
recX	1	1	present	present	retained
regX3	1	1	present	present	retained
relA	1	1	present	present	retained
resA_1	1	1	present	present	retained
resB	1	1	present	present	retained
rfbA	0.5	0.5	unresolved	unresolved	polymorphic
rfbD	0.5	0.5001	unresolved	unresolved	polymorphic
rfbE	0.9999	0.9999	present	present	retained
rfe	1	1	present	present	retained
rhlE	1	1	present	present	retained
rhlE1	0.996	0.9997	present	present	retained
rho	1	1	present	present	retained
ribBA	1	1	present	present	retained
ribD	1	1	present	present	retained
ribE	1	1	present	present	retained
ribF	1	1	present	present	retained
ribH	1	1	present	present	retained
rimJ	1	1	present	present	retained
rimM	1	1	present	present	retained
rimP	1	1	present	present	retained
rip1	1	1	present	present	retained
rip2	1	1	present	present	retained
ripA_1	0.9999	1	present	present	retained
rlmB	1	1	present	present	retained
rlmN	1	1	present	present	retained
rluA	1	1	present	present	retained
rluB	1	1	present	present	retained
rluD	1	1	present	present	retained
rmlB	1	1	present	present	retained
rmlC	0.9999	0.9993	present	present	retained
rmlD	1	1	present	present	retained
rnc	1	1	present	present	retained
rnd	1	1	present	present	retained
rne	1	1	present	present	retained
rnhA	1	1	present	present	retained
rnhB	1	1	present	present	retained
rnj	1	1	present	present	retained
rodA	1	1	present	present	retained
rpe	1	1	present	present	retained
rpfA	1	1	present	present	polymorphic
rpfB	0.9995	0.9999	present	present	polymorphic
rpfI	1	1	present	present	retained
rph	1	1	present	present	retained
rpiB	1	1	present	present	retained
rplA	0.5	0.5	unresolved	unresolved	polymorphic
rplB	1	1	present	present	retained
rplC	1	1	present	present	retained
rplD	1	1	present	present	retained
rplE	1	1	present	present	retained
rplF	1	1	present	present	retained
rplI	0.9999	0.9991	present	present	retained
rplJ	0.5001	0.5005	unresolved	unresolved	retained
rplK	0.5	0.5	unresolved	unresolved	polymorphic
rplL	0.9999	0.9999	present	present	retained
rplM	1	1	present	present	retained
rplN	1	1	present	present	retained
rplO	1	1	present	present	retained
rplP	1	1	present	present	retained
rplQ	1	1	present	present	retained
rplR	1	1	present	present	retained
rplS	0.5003	0.5008	unresolved	unresolved	retained
rplT	1	1	present	present	retained
rplU	1	1	present	present	retained
rplV	1	1	present	present	retained
rplW	1	1	present	present	retained
rplX	1	1	present	present	retained
rpmA	1	1	present	present	retained
rpmB	1	1	present	present	retained
rpmC	1	1	present	present	retained
rpmD	1	1	present	present	retained
rpmE	0.9999	1	present	present	retained
rpmF	1	1	present	present	retained
rpmG	0.9998	0.9998	present	present	polymorphic
rpmI	0.5	0.5	unresolved	unresolved	retained
rpoA	1	1	present	present	retained
rpoB	0.9999	0.9999	present	present	retained
rpoC	1	1	present	present	retained
rpoZ	1	1	present	present	retained
rpsA	1	1	present	present	retained
rpsB	1	1	present	present	retained
rpsC	1	1	present	present	retained
rpsD	1	1	present	present	retained
rpsE	1	1	present	present	retained
rpsF	1	1	present	present	retained
rpsG	0.5	0.5	unresolved	unresolved	retained
rpsH	1	1	present	present	retained
rpsI	1	1	present	present	retained
rpsJ	1	1	present	present	retained
rpsK	1	1	present	present	retained
rpsL	0.5	0.5001	unresolved	unresolved	retained
rpsM	1	1	present	present	retained
rpsN	1	1	present	present	retained
rpsO	1	1	present	present	retained
rpsP	1	1	present	present	retained
rpsQ	1	1	present	present	retained
rpsR	0.9999	0.9994	present	present	retained
rpsS	1	1	present	present	retained
rpsT	1	1	present	present	retained
rraA	0.9951	0.9977	present	present	polymorphic
rsbW	0.9911	0.9991	present	present	polymorphic
rsdA	0.999	0.9955	present	present	retained
rseA	1	1	present	present	retained
rsgA	1	1	present	present	retained
rsmD	1	1	present	present	retained
rsmE	1	1	present	present	retained
rsmG	1	1	present	present	retained
rsmH	1	1	present	present	retained
rsmI	1	1	present	present	retained
rsrA	1	1	present	present	retained
rubA	0.0402	0.9844	absent	present	lost_cladewide
rutA_3	1	1	present	present	retained
ruvA	1	1	present	present	retained
ruvB	1	1	present	present	retained
ruvC	1	1	present	present	retained
ruvX	1	1	present	present	retained
sbcD	1	1	present	present	retained
sbp	0.036	0.9762	absent	present	lost_cladewide
scpA	1	1	present	present	retained
scpB	1	1	present	present	retained
sdh	1	1	present	present	retained
sdhA	1	1	present	present	retained
sdhB	1	1	present	present	retained
sdhB_1	1	1	present	present	retained
sdhC	1	1	present	present	retained
sdhD	1	1	present	present	retained
secA	1	1	present	present	retained
secA2	1	1	present	present	retained
secD	1	1	present	present	retained
secE	0.5	0.5	unresolved	unresolved	polymorphic
secF	1	1	present	present	retained
secG	1	1	present	present	retained
secY	1	1	present	present	retained
senX3	1	1	present	present	retained
sepF	1	1	present	present	retained
serA	1	1	present	present	retained
serB	1	1	present	present	retained
serB1	1	1	present	present	retained
serC	1	1	present	present	retained
serS	1	1	present	present	retained
sigA	0.9999	0.9999	present	present	retained
sigB	1	1	present	present	retained
sigD	0.9999	0.9993	present	present	retained
sigE	1	1	present	present	retained
sigH	1	1	present	present	retained
sigM	1	1	present	present	retained
sir	0.5	0.5	unresolved	unresolved	retained
sirR	0.0183	0.9887	absent	present	lost_cladewide
sixA	1	1	present	present	retained
smc	1	1	present	present	retained
smpB	1	1	present	present	retained
smtB	0.2121	0.9631	unresolved	present	polymorphic
soj	1	1	present	present	retained
spoU	0.5011	0.5022	unresolved	unresolved	retained
spoU2	1	1	present	present	retained
sppA	1	1	present	present	retained
srsC	0.9998	0.9998	present	present	retained
ssb	0.9999	0.9993	present	present	retained
ssb2	1	1	present	present	retained
sseA	0.9999	0.9999	present	present	retained
sseB	0.9995	0.9988	present	present	retained
sseC	1	1	present	present	polymorphic
sthA	0.7118	0.9551	unresolved	present	lost_cladewide
subI	0.9999	0.9999	present	present	retained
sucB	1	1	present	present	retained
sucC	1	1	present	present	retained
sucD	1	1	present	present	retained
sufB	1	1	present	present	retained
sufC	1	1	present	present	polymorphic
sufD	1	1	present	present	retained
sufE	0.9975	0.9994	present	present	retained
sufR	0.9999	0.9999	present	present	polymorphic
sufS	1	1	present	present	retained
sugA	1	1	present	present	retained
sugB	1	1	present	present	retained
sugC	1	1	present	present	retained
suhB	1	1	present	present	retained
tadA	0.5	0.5	unresolved	unresolved	retained
tag	1	1	present	present	retained
tal	1	1	present	present	retained
tatA	1	1	present	present	retained
tatB	1	1	present	present	retained
tatC	1	1	present	present	retained
tatD	1	1	present	present	retained
tcrX	0.5	0.5	unresolved	unresolved	polymorphic
tcrY	0.8373	0.9751	unresolved	present	polymorphic
tesB	1	1	present	present	retained
tesB1	1	1	present	present	retained
tgs3	1	1	present	present	retained
thiC	0.044	0.966	absent	present	lost_cladewide
thiD	1	1	present	present	retained
thiE	0.309	0.9389	unresolved	unresolved	polymorphic
thiG	0.0665	0.9493	unresolved	unresolved	polymorphic
thiL	1	1	present	present	retained
thiO	0.0665	0.9493	unresolved	unresolved	polymorphic
thiS	0.0727	0.9431	unresolved	unresolved	polymorphic
thiX	1	1	present	present	retained
thlA	0.0822	0.9593	unresolved	present	polymorphic
thrB	0.9999	0.9999	present	present	retained
thrC	0.9999	1	present	present	retained
thrS	1	1	present	present	retained
thyA	0.5	0.5	unresolved	unresolved	retained
thyX	0.9999	0.9999	present	present	polymorphic
tig	0.9999	0.9999	present	present	retained
tilS	1	1	present	present	retained
tkt	1	1	present	present	retained
tldD	1	1	present	present	retained
tlyA	1	1	present	present	retained
tlyC	1	1	present	present	retained
tmk	1	1	present	present	retained
topA	1	1	present	present	retained
tpa	1	1	present	present	retained
tpiA	1	1	present	present	retained
tpx	0.5347	0.7862	unresolved	unresolved	polymorphic
treY	0.7366	0.9886	unresolved	present	polymorphic
treZ	0.7074	0.984	unresolved	present	polymorphic
trmB	1	1	present	present	retained
trmD	1	1	present	present	retained
trmI	1	1	present	present	retained
trpA	1	1	present	present	retained
trpB	1	1	present	present	retained
trpC	1	1	present	present	retained
trpD	1	1	present	present	retained
trpE	1	1	present	present	retained
trpF	0.9998	0.9998	present	present	retained
trpG	1	1	present	present	retained
trpS	1	1	present	present	retained
truA	1	1	present	present	retained
truB	0.5	0.5	unresolved	unresolved	retained
trxB	1	1	present	present	retained
trxC	1	1	present	present	retained
tsaD	1	1	present	present	retained
tsaE	1	1	present	present	retained
tsf	1	1	present	present	retained
tsnR	0.5	0.5	unresolved	unresolved	retained
tuf	0.5073	0.5096	unresolved	unresolved	retained
typA	1	1	present	present	retained
tyrA	0.5	0.5	unresolved	unresolved	retained
tyrS	0.5	0.5	unresolved	unresolved	polymorphic
ubiA	1	1	present	present	retained
udgB	1	1	present	present	retained
ung	1	1	present	present	retained
upp	1	1	present	present	retained
uppP	1	1	present	present	retained
uppS	1	1	present	present	retained
uppS1	0.9999	1	present	present	retained
uspR	1	1	present	present	retained
uvrA	1	1	present	present	retained
uvrB	1	1	present	present	retained
uvrC	1	1	present	present	retained
uvrD2	1	1	present	present	retained
uvrD3	1	1	present	present	retained
valS	1	1	present	present	retained
viuB	0.0209	0.9881	absent	present	lost_cladewide
wag31	1	1	present	present	retained
wbbL	1	1	present	present	retained
whiB	1	1	present	present	retained
whiB2	1	1	present	present	retained
whiB3	1	1	present	present	retained
whiB4	1	1	present	present	retained
whiB7	0.9968	0.9956	present	present	polymorphic
xerC	1	1	present	present	retained
xerD	1	1	present	present	retained
xfp	0.996	0.9985	present	present	retained
xis	1	1	present	present	retained
xseA	1	1	present	present	retained
xseB	0.9999	0.9999	present	present	retained
xthA	1	1	present	present	retained
yabJ	1	1	present	present	retained
yajC	1	1	present	present	retained
ybaB	0.5	0.5	unresolved	unresolved	retained
ybbN	0.9999	0.9999	present	present	polymorphic
ybdK	1	1	present	present	retained
ybeY	1	1	present	present	retained
ybhB	1	1	present	present	retained
ybiT	0.9999	0.9999	present	present	polymorphic
ychF	1	1	present	present	retained
ydjZ	1	1	present	present	retained
yeaZ	1	1	present	present	retained
yebC	1	1	present	present	retained
yedK	0.9949	0.9995	present	present	polymorphic
yfiC	1	1	present	present	retained
yfiH	1	1	present	present	retained
ygfA	1	1	present	present	retained
yhfI	1	1	present	present	retained
yhfQ	0.0431	0.9677	absent	present	lost_cladewide
yhjD	1	1	present	present	retained
yidC	1	1	present	present	retained
yitW	0.9998	0.9999	present	present	polymorphic
yjjK	1	1	present	present	retained
ykuE	1	1	present	present	retained
ylmA	1	1	present	present	retained
ypfJ	1	1	present	present	retained
yqjG	0.0488	0.9583	absent	present	lost_cladewide
yqjI	0.0771	0.9489	unresolved	unresolved	polymorphic
ytcJ	1	1	present	present	retained
ytfL	1	1	present	present	retained
ytpA	1	1	present	present	retained
yutF	1	1	present	present	retained
yvqK	0.5	0.5	unresolved	unresolved	retained
ywlC	1	1	present	present	retained
zwf	0.9999	1	present	present	retained
