family	p_crown	p_preceding	crown	preceding	fate
ctaB	1	1	present	present	retained
ctaC	1	1	present	present	retained
ctaD	1	1	present	present	retained
ctaE	1	1	present	present	retained
ctaF	0.9998	0.9998	present	present	retained
ctc	1	1	present	present	retained
ctpE	1	1	present	present	retained
cut2	0.9999	0.9999	present	present	retained
cvpA	1	1	present	present	retained
cwlM	1	1	present	present	retained
cwsA	0.0425	0.9676	absent	present	lost_cladewide
cya	1	1	present	present	retained
cydA	0.0341	0.9755	absent	present	lost_cladewide
cydB	0.0445	0.9647	absent	present	lost_cladewide
cydC	0.039	0.9706	absent	present	lost_cladewide
cydD	0.039	0.9706	absent	present	lost_cladewide
cynT	1	1	present	present	retained
cyp123A3	1	1	present	present	retained
cyp124A1	0.5	0.5	unresolved	unresolved	polymorphic
cyp126A3	0.7043	0.9685	unresolved	present	polymorphic
cyp130	1	1	present	present	retained
cyp138	0.9995	0.9994	present	present	retained
cyp140	0.9999	0.9999	present	present	polymorphic
cyp142A3	0.5006	0.5014	unresolved	unresolved	retained
cyp51	1	1	present	present	retained
cysA	1	1	present	present	retained
cysA2	0.8273	0.9935	unresolved	present	polymorphic
cysD	0.9999	1	present	present	retained
cysG	1	1	present	present	retained
cysH	0.9999	0.9999	present	present	retained
cysK	1	1	present	present	retained
cysN	1	1	present	present	retained
cysQ	1	1	present	present	retained
cysQ_1	0.9999	1	present	present	retained
cysS	1	1	present	present	retained
czcD	1	1	present	present	retained
dac	1	1	present	present	retained
dacB	1	1	present	present	retained
dacC	1	1	present	present	retained
dagK	1	1	present	present	retained
dak3	0.9984	1	present	present	retained
dapA	1	1	present	present	retained
dapB	0.5	0.5	unresolved	unresolved	retained
dapB_2	0.9999	0.9998	present	present	retained
dapC	1	1	present	present	retained
dapD	1	1	present	present	retained
dapE	1	1	present	present	retained
dapE2	1	1	present	present	retained
dapF	1	1	present	present	retained
dcd	0.5	0.5	unresolved	unresolved	retained
dcsG	0.9996	0.9996	present	present	polymorphic
ddl	1	1	present	present	retained
ddn	0.9999	0.9999	present	present	retained
deaD	1	1	present	present	retained
def	1	1	present	present	retained
deoA	0.0318	0.9778	absent	present	lost_cladewide
deoC	0.9997	0.9998	present	present	polymorphic
der	1	1	present	present	retained
desA2	1	1	present	present	retained
desA3	1	1	present	present	retained
desA3_2	0.0593	0.9492	unresolved	unresolved	polymorphic
devR	0.9998	0.9999	present	present	polymorphic
dgt	1	1	present	present	retained
dinB	1	1	present	present	retained
dinB_2	1	1	present	present	retained
dinG	1	1	present	present	retained
disA	0.1128	0.9506	unresolved	present	lost_cladewide
divIC	0.9999	0.9999	present	present	retained
dkgA	1	1	present	present	polymorphic
dmpA	1	1	present	present	retained
dnaA	1	1	present	present	retained
dnaB	0.9999	0.9994	present	present	retained
dnaE	1	1	present	present	retained
dnaE2	1	1	present	present	retained
dnaG	1	1	present	present	retained
dnaJ	1	1	present	present	retained
dnaK	1	1	present	present	retained
dnaN	1	1	present	present	retained
dnaQ	1	1	present	present	retained
dnaX	0.5	0.5	unresolved	unresolved	retained
dop	1	1	present	present	retained
doxX	0.0647	0.9369	unresolved	unresolved	lost_cladewide
dprA	1	1	present	present	retained
dprE1	0.5	0.5	unresolved	unresolved	retained
dprE2	0.5	0.5	unresolved	unresolved	retained
drrA_2	0.9998	0.9999	present	present	polymorphic
dtd	1	1	present	present	retained
dus	1	1	present	present	retained
dxr	1	1	present	present	retained
dxs	1	1	present	present	retained
eapA	1	1	present	present	retained
eccB	1	1	present	present	retained
eccCa	1	1	present	present	retained
echA1	0.9987	0.9989	present	present	polymorphic
echA12	0.5	0.5002	unresolved	unresolved	polymorphic
echA13	0.0386	0.9716	absent	present	lost_cladewide
echA16	1	1	present	present	retained
echA17	1	1	present	present	retained
echA19	0.9998	0.9998	present	present	retained
echA20	1	1	present	present	retained
echA21	1	1	present	present	retained
echA3	0.9995	0.9994	present	present	polymorphic
echA4	0.94	0.9906	unresolved	present	polymorphic
echA5	0.5003	0.5009	unresolved	unresolved	polymorphic
echA6	1	1	present	present	retained
echA7	0.9999	1	present	present	retained
echA8	1	1	present	present	retained
echA8_4	0.0657	0.9406	unresolved	unresolved	lost_cladewide
echA8_6	1	1	present	present	retained
echA9	1	1	present	present	retained
efp	1	1	present	present	retained
efpA	1	1	present	present	retained
egtA	0.0183	0.9886	absent	present	lost_cladewide
egtB	0.0281	0.9811	absent	present	lost_cladewide
egtC	0.023	0.9849	absent	present	lost_cladewide
egtD	0.0318	0.9778	absent	present	lost_cladewide
egtE	0.0332	0.9767	absent	present	lost_cladewide
elaA	1	1	present	present	polymorphic
elrF	1	1	present	present	retained
embA	1	1	present	present	retained
embB	1	1	present	present	retained
embC	1	1	present	present	retained
emrB	1	1	present	present	retained
eno	1	1	present	present	retained
entC	1	1	present	present	retained
ephA	0.9999	0.9999	present	present	retained
ephE	1	1	present	present	retained
ephG	1	1	present	present	retained
era	1	1	present	present	retained
ercc3	1	1	present	present	retained
erg3	0.9999	0.9999	present	present	retained
espR	1	1	present	present	retained
esxT	0.0443	0.9645	absent	present	lost_cladewide
esxU	0.0443	0.9645	absent	present	lost_cladewide
etfA	1	1	present	present	retained
etfB	1	1	present	present	retained
ethA	1	1	present	present	retained
fabD	1	1	present	present	retained
fabF	0.5	0.5	unresolved	unresolved	retained
fabG	1	1	present	present	retained
fabG_1	0.9993	0.9998	present	present	polymorphic
fabG1	1	1	present	present	retained
fabG3	0.9996	0.9996	present	present	retained
fabK	1	1	present	present	retained
fadA	1	1	present	present	retained
fadA2	1	1	present	present	retained
fadA3	1	1	present	present	retained
fadA4	1	1	present	present	retained
fadA5	1	1	present	present	retained
fadA6	0.9999	0.9999	present	present	retained
fadB2	1	1	present	present	retained
fadB4	1	1	present	present	retained
fadD1	0.503	0.5059	unresolved	unresolved	polymorphic
fadD14	0.5091	0.5098	unresolved	unresolved	retained
fadD15	0.0137	0.9919	absent	present	lost_cladewide
fadD17	1	1	present	present	retained
fadD19	0.5085	0.5096	unresolved	unresolved	retained
fadD2	1	1	present	present	retained
fadD3	1	1	present	present	retained
fadD32	1	1	present	present	retained
fadD36	1	1	present	present	retained
fadD4	0.9996	0.9997	present	present	polymorphic
fadD5	0.9963	0.9999	present	present	polymorphic
fadD6	0.9473	0.9989	unresolved	present	polymorphic
fadD8	1	1	present	present	retained
fadD9	0.0029	0.0551	absent	unresolved	lost_cladewide
fadE	0.992	0.9992	present	present	polymorphic
fadE12	0.9967	0.9999	present	present	polymorphic
fadE12_1	0.0731	0.927	unresolved	unresolved	lost_cladewide
fadE12_3	0.9999	0.9999	present	present	retained
fadE13	0.9738	0.9858	present	present	polymorphic
fadE19	1	1	present	present	retained
fadE2	1	1	present	present	retained
fadE20	1	1	present	present	retained
fadE21	0.0279	0.3172	absent	unresolved	polymorphic
fadE23	1	0.9998	present	present	retained
fadE24	1	1	present	present	retained
fadE25	1	1	present	present	retained
fadE26	1	1	present	present	retained
fadE27	1	1	present	present	retained
fadE29	0.9999	1	present	present	retained
fadE31	1	1	present	present	retained
fadE32	0.9999	1	present	present	retained
fadE33	1	1	present	present	retained
fadE34	1	1	present	present	retained
fadE36	0.05	0.8843	unresolved	unresolved	lost_cladewide
fadE6	1	1	present	present	retained
fadE9	1	1	present	present	retained
fas	1	1	present	present	retained
fba	1	1	present	present	retained
fbiB	1	1	present	present	retained
fbiC	1	1	present	present	retained
fbpA	1	1	present	present	retained
fdxA	1	1	present	present	retained
fdxD	0.9998	0.9999	present	present	polymorphic
fecB	1	1	present	present	retained
ffh	1	1	present	present	retained
fgd	1	1	present	present	retained
fhaA	1	1	present	present	retained
fhaB	1	1	present	present	retained
fmt	0.5052	0.5067	unresolved	unresolved	polymorphic
fmu	1	1	present	present	retained
folA	0.5036	0.5043	unresolved	unresolved	retained
folB	1	1	present	present	retained
folC	1	1	present	present	retained
folD	1	1	present	present	retained
folE	1	1	present	present	retained
folK	0.9999	1	present	present	retained
folP	1	1	present	present	retained
folP2	1	1	present	present	retained
fpg	1	1	present	present	retained
fprA	1	1	present	present	retained
fprB	1	1	present	present	retained
frr	1	1	present	present	retained
ftsE	1	1	present	present	retained
ftsH	1	1	present	present	retained
ftsI	1	1	present	present	retained
ftsK	1	1	present	present	retained
ftsQ	1	1	present	present	retained
ftsW	1	1	present	present	retained
ftsX	1	1	present	present	retained
ftsY	1	1	present	present	retained
ftsZ	1	1	present	present	retained
fumC	1	1	present	present	retained
furB	1	1	present	present	retained
fusA	0.5	0.5	unresolved	unresolved	retained
fxsA	0.0468	0.3125	absent	unresolved	polymorphic
gabD1	0.9998	0.9996	present	present	polymorphic
gabT	1	1	present	present	retained
gadB	1	1	present	present	retained
galE1	1	1	present	present	polymorphic
galE2	1	1	present	present	retained
galU	1	0.9993	present	present	retained
gap	1	1	present	present	retained
garA	1	1	present	present	retained
gatA	1	1	present	present	retained
gatB	1	1	present	present	retained
gatC	0.9998	0.9999	present	present	retained
gcs2	1	1	present	present	retained
gcvH	1	1	present	present	retained
gcvP	1	1	present	present	retained
gcvT	1	1	present	present	retained
gdh	1	1	present	present	retained
glbO	1	1	present	present	retained
glcB	1	1	present	present	retained
glf	1	1	present	present	retained
glfT	1	1	present	present	retained
glfT1	0.5	0.5	unresolved	unresolved	retained
glgA	1	1	present	present	retained
glgB	1	1	present	present	retained
glgC	1	1	present	present	retained
glgE	0.9999	0.9999	present	present	polymorphic
glgP	1	1	present	present	retained
glgX_1	1	1	present	present	retained
glmM	1	1	present	present	retained
glmS	1	1	present	present	retained
glmU	1	1	present	present	retained
glnA	1	1	present	present	retained
glnA2	1	1	present	present	retained
glnA4	0.9999	0.9998	present	present	retained
glnB	1	1	present	present	retained
glnD	1	1	present	present	retained
glnE	1	1	present	present	retained
glnH	1	1	present	present	retained
glnQ	0.9999	0.9999	present	present	polymorphic
glnR	1	1	present	present	retained
gloA	1	1	present	present	retained
gloB	0.5	0.5	unresolved	unresolved	polymorphic
glpD	1	1	present	present	retained
glpD1	0.9999	0.9999	present	present	polymorphic
glpK	1	1	present	present	retained
glpQ	1	1	present	present	retained
glpX	1	1	present	present	retained
gltA	1	1	present	present	retained
gltB	1	1	present	present	retained
gltD	1	1	present	present	retained
gltX	1	1	present	present	retained
glxK	1	1	present	present	retained
glxR	1	1	present	present	retained
glyA	1	1	present	present	retained
glyQS	1	1	present	present	retained
gmk	1	1	present	present	retained
gnd	1	1	present	present	retained
gpgS	1	1	present	present	retained
gpm2	1	1	present	present	retained
gpmA	1	1	present	present	retained
gpmB	1	1	present	present	retained
gpsA	1	1	present	present	retained
greA	1	1	present	present	retained
groL	1	1	present	present	retained
groS	0.9999	0.9999	present	present	retained
grpE	1	1	present	present	retained
guaA	1	1	present	present	retained
guaB	1	1	present	present	retained
guaB1	1	1	present	present	retained
guaB3	1	1	present	present	retained
gyrA	1	1	present	present	retained
gyrB	1	1	present	present	retained
hadA	0.5	0.5	unresolved	unresolved	polymorphic
hadB	1	1	present	present	retained
hbhA	1	1	present	present	retained
hdhA	0.9999	0.9999	present	present	retained
