gene	pct_FSM	pct_other	fisher_p	BH_FDR	COG_category
fni	93.8	61.2	2.0416961294516392e-09	7.386024794229216e-08	Energy production
mpt	87.5	51.7	2.542505775533046e-09	8.949162220727578e-08	Cell wall/envelope
MA20_16590	66.7	28.6	4.163161581282166e-09	1.426795815620125e-07	PTM/chaperones
yqeY	93.8	62.6	6.6072050118896104e-09	2.115930326348582e-07	Other/unknown
drrA	81.2	47.6	7.777511554190585e-08	2.392656507261623e-06	Defence
drrC	81.2	48.3	1.3318195315325091e-07	4.033658069532957e-06	Defence
nylB	63.5	29.9	2.100553624649303e-07	6.124524635451363e-06	Defence
pdc	76.0	42.9	2.2661356874682693e-07	6.558364541435947e-06	Carbohydrate metab
nicT	78.1	45.6	2.9370840263518395e-07	8.437637713938706e-06	Other/unknown
cysE	81.2	51.0	1.0415689746366933e-06	2.825979155489973e-05	Amino-acid metab
hoxK	79.2	49.0	1.4806454622847128e-06	3.935293755881887e-05	Energy production
Test universe: 3,907 named gene families tested; 99 significant at Benjamini-Hochberg FDR < 0.05 with prevalence ≥ 50% in FSM and a prevalence gap ≥ 30 points over the other clades combined. BH_FDR is the Benjamini-Hochberg q value computed over the full vector of 3,907 Fisher p values, not over the selected 99; the largest q among the 99 is 3.9e-05.
