family	ER_prob_present_at_crown	ARD_prob_present_at_crown	ARD_informative	ER_class	ARD_class	classes_agree	both_confident	opposite_confident_calls	in_clade_wide_lost_set
birA	0.999734435471657	0.5	False	present	unresolved	False	False	False	False
bla	0.999993815075218	0.5	False	present	unresolved	False	False	False	False
blaI	0.996053579196999	0.5	False	present	unresolved	False	False	False	False
bluB	0.0154851542681262	0.999912233240801	True	absent	present	False	True	True	True
bpa	0.999968773007511	0.5	False	present	unresolved	False	False	False	False
bphI	0.999840978447922	0.5	False	present	unresolved	False	False	False	False
bpoB	0.999915920437626	0.500000039909008	False	present	unresolved	False	False	False	False
bpoC	0.999999652991833	0.499999998244685	False	present	unresolved	False	False	False	False
caeA	0.999993798406365	0.500002044234359	False	present	unresolved	False	False	False	False
carA	0.999980798774556	0.5	False	present	unresolved	False	False	False	False
carB	0.999998742014927	0.5	False	present	unresolved	False	False	False	False
carD	0.999983421720917	0.5	False	present	unresolved	False	False	False	False
catJ	0.999988740878482	0.508889540207297	True	present	unresolved	False	False	False	False
cbiX	0.511192446016433	0.500000809876832	False	unresolved	unresolved	True	False	False	False
cbs	0.999999632709061	0.5	False	present	unresolved	False	False	False	False
ccdA	0.999999655588325	0.5	False	present	unresolved	False	False	False	False
ccsB	0.999996925071969	0.500000000001999	False	present	unresolved	False	False	False	False
ccsX	0.999998784855831	0.5	False	present	unresolved	False	False	False	False
cdd	0.99974516081698	0.5	False	present	unresolved	False	False	False	False
cdoA	0.906264370929428	0.308340246764189	True	unresolved	unresolved	True	False	False	False
cdsA	0.999988063793733	0.5	False	present	unresolved	False	False	False	False
celA1	0.999985846455593	0.947639559055166	True	present	unresolved	False	False	False	False
ceoB	0.99999324970503	0.5	False	present	unresolved	False	False	False	False
ceoC	0.999980032025804	0.5	False	present	unresolved	False	False	False	False
cfp6	0.999987384083124	0.5	False	present	unresolved	False	False	False	False
chlI	1	1	True	present	present	True	True	False	False
choD	0.999968447670525	1	True	present	present	True	True	False	False
cinA	0.99999963270906	0.5	False	present	unresolved	False	False	False	False
citA	0.999988285497004	0.999999999906087	True	present	present	True	True	False	False
citE	0.0229711130709608	0.999999033964312	True	absent	present	False	True	True	True
cld	0.999988238632042	0.5	False	present	unresolved	False	False	False	False
clgR	0.999926210838428	0.5	False	present	unresolved	False	False	False	False
clpB	0.999997038404039	0.5	False	present	unresolved	False	False	False	False
clpC	0.999996850309376	0.5	False	present	unresolved	False	False	False	False
clpL	0.999999958758497	0.5	False	present	unresolved	False	False	False	False
clpP	0.999978655757833	0.5	False	present	unresolved	False	False	False	False
clpS	0.99995612364095	0.5	False	present	unresolved	False	False	False	False
clpX	0.99999362903054	0.5	False	present	unresolved	False	False	False	False
cmk	0.999998831595423	0.499999999999999	False	present	unresolved	False	False	False	False
cmrA	0.999996978819111	0.5	False	present	unresolved	False	False	False	False
cmtB	1	1	True	present	present	True	True	False	False
coaA	0.99999939667672	0.5	False	present	unresolved	False	False	False	False
coaBC	0.999996891543948	0.5	False	present	unresolved	False	False	False	False
coaD	0.999999693027858	0.5	False	present	unresolved	False	False	False	False
coaE	0.999988677599635	0.5	False	present	unresolved	False	False	False	False
coaX	0.99999648551211	0.5	False	present	unresolved	False	False	False	False
cobB	0.999999956916932	0.500003071427049	False	present	unresolved	False	False	False	False
cobD	0.51114775546312	0.5	False	unresolved	unresolved	True	False	False	False
cobF	0.999691168343729	0.5	False	present	unresolved	False	False	False	False
cobG	0.999980258145167	0.5	False	present	unresolved	False	False	False	False
cobH	0.999938465989229	0.5	False	present	unresolved	False	False	False	False
cobIJ	0.999976269069803	0.5	False	present	unresolved	False	False	False	False
cobK	0.5	0.5	False	unresolved	unresolved	True	False	False	False
cobL	0.999937826714409	0.5	False	present	unresolved	False	False	False	False
cobM	0.999809301635797	0.5	False	present	unresolved	False	False	False	False
cobN	0.999998401819577	0.5	False	present	unresolved	False	False	False	False
cobO	0.999953694280493	0.5	False	present	unresolved	False	False	False	False
cobQ	0.99999338961348	0.5	False	present	unresolved	False	False	False	False
cobQ2	0.999980799170016	0.5	False	present	unresolved	False	False	False	False
cobS	0.999981417946902	0.5	False	present	unresolved	False	False	False	False
cobT	0.999931501450392	0.5	False	present	unresolved	False	False	False	False
cobU	0.999954222751765	0.5	False	present	unresolved	False	False	False	False
cofC	0.999998265190623	0.5	False	present	unresolved	False	False	False	False
cofD	0.999999632709061	0.5	False	present	unresolved	False	False	False	False
comEA	0.999949635138268	0.5	False	present	unresolved	False	False	False	False
comEC	0.999987523495909	0.5	False	present	unresolved	False	False	False	False
comM	0.999999646428125	0.5	False	present	unresolved	False	False	False	False
corA	0.999990966463586	0.5	False	present	unresolved	False	False	False	False
corC	0.999990295835094	0.5	False	present	unresolved	False	False	False	False
cpaE	0.999849534233324	0.5	False	present	unresolved	False	False	False	False
cpaF	0.99973617868778	0.5	False	present	unresolved	False	False	False	False
crcB	0.999955352261067	0.5	False	present	unresolved	False	False	False	False
crgA	0.999993151657834	0.5	False	present	unresolved	False	False	False	False
crtE	1	1	True	present	present	True	True	False	False
cryz	0.999829125268076	0.5	False	present	unresolved	False	False	False	False
csd	0.999971246946171	0.5	False	present	unresolved	False	False	False	False
csm	0.999996921736651	0.5	False	present	unresolved	False	False	False	False
csoR	0.999991430641554	0.5	False	present	unresolved	False	False	False	False
csp	0.999996914176522	0.500000270788415	False	present	unresolved	False	False	False	False
cspA_1	1	1	True	present	present	True	True	False	False
cspB	0.999987972822511	0.5	False	present	unresolved	False	False	False	False
